Name,Freindly Name,outFlowTime,Target Audience,expTime,priority,x,y,r,g,b
Alien Swirling Saucers,Swirling Saucers,6000,Child,1.5,10,320,380,107,241,120
Beauty and the Beast Live On Stage,Beauty and the Beast,2400,Child,30,5,1490,320,10,34,57
Indiana Jones: Stunt Spectacular,Indiana Jones,1674.42,Adult,30,5,1250,690,124,99,84
Muppet Vision 3D,Muppet Vision,2130.18,Adult,17,5,710,780,145,242,145
Disney Junior - Live On Stage,Disney Junior,22500,Child,20,0,1120,300,57,147,221
Rock n' Roller Coaster,Rock n' Roller,2000,YoungAdult,1.5,25,1330,120,236,11,67
Slinky Dog Dash,Slinky Dog,2500,YoungAdult,2,30,440,230,216,189,138
Star Tours,Star Tours,1894.74,YoungAdult,5,10,940,790,110,68,255
Toy Story Mania,Toy Story Mania,5000,Child,8,15,600,430,117,70,104
Tower of Terror,Tower of Terror,2857.14,YoungAdult,5,25,1500,230,0,0,0
Rise of the Resistance,Rise,2400,YoungAdult,7,30,510,740,191,189,193
Millenium Falcon: Smugglers Run,Smugglers Run,2117.65,YoungAdult,5,30,20,710,206,237,219
Mickey and Minnie's Runaway Railway,Runaway Railway,1894.74,Adult,5,25,820,470,230,95,92
